obj_id,quartile,delta_theta,mse,perceptual
24,Q1,90,0.0030483135487884283,0.09037250280380249
24,Q1,90,0.003914899192750454,0.10620135068893433
24,Q1,90,0.005553802475333214,0.11329108476638794
24,Q1,90,0.004895057994872332,0.11035788059234619
24,Q1,90,0.004294162150472403,0.11058735847473145
24,Q1,90,0.00355098326690495,0.09746050834655762
24,Q1,90,0.0048293848522007465,0.10393494367599487
24,Q1,90,0.004620848223567009,0.10798430442810059
83,Q1,90,0.004441453609615564,0.09248709678649902
83,Q1,90,0.005631452891975641,0.11966812610626221
83,Q1,90,0.005902906879782677,0.11380404233932495
83,Q1,90,0.008672368712723255,0.16257154941558838
83,Q1,90,0.006850427016615868,0.13672655820846558
83,Q1,90,0.0054247318767011166,0.12281399965286255
83,Q1,90,0.007725182455033064,0.14580106735229492
83,Q1,90,0.005579402670264244,0.11243003606796265
72,Q1,90,0.015287869609892368,0.15887272357940674
72,Q1,90,0.016109639778733253,0.1657375693321228
72,Q1,90,0.014835980720818043,0.13684207201004028
72,Q1,90,0.01571480743587017,0.1626976728439331
72,Q1,90,0.020357733592391014,0.16634392738342285
72,Q1,90,0.01713300123810768,0.157395601272583
72,Q1,90,0.014061414636671543,0.15396952629089355
72,Q1,90,0.01813187450170517,0.17330729961395264
92,Q1,90,0.012455410324037075,0.17388993501663208
92,Q1,90,0.012513522990047932,0.19040191173553467
92,Q1,90,0.010345323011279106,0.11396580934524536
92,Q1,90,0.012872803024947643,0.19742590188980103
92,Q1,90,0.01311261486262083,0.21251583099365234
92,Q1,90,0.01736099272966385,0.1294528841972351
92,Q1,90,0.02121054381132126,0.18671363592147827
92,Q1,90,0.012762109749019146,0.1934492588043213
87,Q1,90,0.015150591731071472,0.14505243301391602
87,Q1,90,0.014027915894985199,0.15338057279586792
87,Q1,90,0.015466186217963696,0.14657986164093018
87,Q1,90,0.013865734450519085,0.1530141830444336
87,Q1,90,0.016024423763155937,0.2028055191040039
87,Q1,90,0.014880121685564518,0.187940776348114
87,Q1,90,0.017241131514310837,0.20060968399047852
87,Q1,90,0.012378132902085781,0.14573532342910767
2,Q1,90,0.009853742085397243,0.18670570850372314
2,Q1,90,0.018396230414509773,0.20344269275665283
2,Q1,90,0.010347497649490833,0.18466055393218994
2,Q1,90,0.009477692656219006,0.1975122094154358
2,Q1,90,0.010141528211534023,0.2031846046447754
2,Q1,90,0.011770784854888916,0.15108919143676758
2,Q1,90,0.016361400485038757,0.2326306700706482
2,Q1,90,0.009207826107740402,0.18298614025115967
53,Q1,90,0.018207935616374016,0.17389577627182007
53,Q1,90,0.01659954898059368,0.18490493297576904
53,Q1,90,0.017728596925735474,0.16242289543151855
53,Q1,90,0.017651863396167755,0.16406512260437012
53,Q1,90,0.02086549811065197,0.1623327136039734
53,Q1,90,0.0233257208019495,0.20786052942276
53,Q1,90,0.025528565049171448,0.20249563455581665
53,Q1,90,0.01658681593835354,0.14124155044555664
88,Q2,90,0.013648380525410175,0.2081030011177063
88,Q2,90,0.009868843480944633,0.20790815353393555
88,Q2,90,0.006368486676365137,0.17534136772155762
88,Q2,90,0.00816110149025917,0.17798960208892822
88,Q2,90,0.01090318989008665,0.1891489028930664
88,Q2,90,0.008091030642390251,0.1791973114013672
88,Q2,90,0.007707338780164719,0.17487740516662598
88,Q2,90,0.011336383409798145,0.16923779249191284
30,Q2,90,0.010607197880744934,0.19866430759429932
30,Q2,90,0.011931143701076508,0.2096220850944519
