N,angle,type,complexity,lpips
10,45,interp,simple,0.3724084769686063
10,45,interp,complex,0.4766943119466305
10,60,interp,simple,0.3608562722802162
10,60,interp,complex,0.4585622176527977
10,75,interp,simple,0.3716026172041893
10,75,interp,complex,0.4605332277715206
10,120,extrap,simple,0.3659750148653984
10,120,extrap,complex,0.4533730335533619
10,135,extrap,simple,0.38561060776313144
10,135,extrap,complex,0.43341241031885147
10,180,extrap,simple,0.4657263954480489
10,180,extrap,complex,0.5304732508957386
40,45,interp,simple,0.48073847591876984
40,45,interp,complex,0.4471740834414959
40,60,interp,simple,0.43136560420195263
40,60,interp,complex,0.38032326847314835
40,75,interp,simple,0.3973584646979968
40,75,interp,complex,0.38344329968094826
40,120,extrap,simple,0.4560406704743703
40,120,extrap,complex,0.3912453129887581
40,135,extrap,simple,0.4743049417932828
40,135,extrap,complex,0.4288115128874779
40,180,extrap,simple,0.49421951671441394
40,180,extrap,complex,0.5393976010382175
80,45,interp,simple,0.4378427639603615
80,45,interp,complex,0.428146056830883
80,60,interp,simple,0.39137201259533566
80,60,interp,complex,0.4606914818286896
80,75,interp,simple,0.3868032197157542
80,75,interp,complex,0.430305790156126
80,120,extrap,simple,0.39293717344601947
80,120,extrap,complex,0.41899725422263145
80,135,extrap,simple,0.41461624950170517
80,135,extrap,complex,0.46353767439723015
80,180,extrap,simple,0.5274907425045967
80,180,extrap,complex,0.5325554572045803
